42,55,0.010058,0.50162,0.01271,0.48817
77,84,0.39054,0.578,0.41767,0.52269
100,114,0.0051804,0.15937,0.02982,0.1283
114,125,0.15937,0.5997,0.1283,0.64123
138,143,0.36342,0.56981,0.33919,0.57608
175,187,0.14834,0.4489,0.18621,0.37368
187,196,0.4489,0.61187,0.37368,0.58743
217,223,0.20668,0.38957,0.28242,0.36335
233,240,0.22204,0.4354,0.20434,0.45562
252,266,0.53179,0.68261,0.53003,0.66904
307,316,0.12752,0.48244,0.13293,0.50423
328,342,0.081019,0.57729,0.07433,0.59797
418,432,0.26479,0.54848,0.22833,0.5755
448,462,0.11008,0.58883,0.10462,0.60142
474,479,0.38409,0.55828,0.41719,0.58467
496,510,0.067341,0.64816,0.05261,0.79266
543,554,0.16484,0.61937,0.10736,0.60356
573,581,0.21353,0.64826,0.22609,0.65964
598,608,0.13308,0.38628,0.17639,0.44105
621,635,0.042311,0.58423,0.03641,0.48429
640,649,0.45501,0.66134,0.36849,0.74779
664,678,0.064049,0.29004,0.08995,0.33162
685,696,0.26179,0.58783,0.17879,0.6655
737,742,0.079845,0.2489,0.08195,0.28634
808,814,0.31058,0.6188,0.37623,0.65321
877,888,0.044576,0.29129,0.03592,0.32206
897,909,0.023491,0.52494,0.04333,0.50984
930,938,0.037722,0.3602,0.03804,0.28991
954,959,0.19191,0.41868,0.17397,0.35999
978,992,0.21983,0.56479,0.1444,0.51596
1030,1041,0.16232,0.34749,0.3308,0.42471
1068,1079,0.14405,0.37639,0.128,0.49611
1083,1094,0.33705,0.63302,0.42689,0.62481
1099,1108,0.21972,0.42524,0.1989,0.38838
1155,1167,0.13099,0.32663,0.16249,0.36474
1189,1203,0.16254,0.61607,0.14208,0.71606
1225,1237,0.070851,0.46462,0.1407,0.27371
1315,1323,0.093787,0.39887,0.1122,0.31267
1323,1335,0.39887,0.56401,0.31267,0.58559
1358,1365,0.40052,0.5944,0.31682,0.61442
1381,1395,0.15263,0.56982,0.16957,0.66804
1431,1443,0.11992,0.5783,0.12869,0.67787
1450,1461,0.46976,0.65122,0.49615,0.70255
1479,1486,0.042827,0.52986,0.06014,0.51789
1500,1504,0.24023,0.42761,0.24045,0.39042
1512,1518,0.045556,0.29716,0.08549,0.31837
1528,1542,0.09025,0.38841,0.09032,0.37175
1546,1552,0.35648,0.67002,0.31032,0.73524
1614,1623,0.27569,0.72272,0.3664,0.84689
1681,1694,0.011112,0.45942,0.02677,0.47999
1716,1729,0.16513,0.53147,0.18194,0.54791
1741,1754,0.38856,0.59435,0.35802,0.65732
1770,1776,0.36491,0.62081,0.35741,0.64286
1792,1806,0.34786,0.61058,0.31669,0.63161
1851,1863,0.59262,0.78126,0.7781,0.86594
1920,1934,0.21699,0.49281,0.2356,0.46183
1943,1956,0.16853,0.49807,0.21094,0.54909
1979,1993,0.011134,0.3697,0.02517,0.3616
2004,2014,0.022734,0.48537,0.03603,0.49941
2027,2039,0.17999,0.51909,0.1898,0.53919
2080,2085,0.28704,0.67629,0.28115,0.6707
2100,2112,0.12626,0.60244,0.18062,0.59667
2125,2137,0.10053,0.57474,0.1109,0.55495
2151,2164,0.13277,0.38883,0.12347,0.44375
2173,2187,0.047741,0.60266,0.05725,0.66643
2197,2206,0.42437,0.70848,0.44287,0.78308
2240,2247,0.16218,0.34654,0.20144,0.33687
2266,2271,0.016427,0.20172,0.05465,0.23708
2293,2304,0.0034611,0.40978,0.02,0.42963
2313,2326,0.36739,0.65606,0.36284,0.70946
2342,2346,0.14197,0.47647,0.17802,0.47096
2365,2377,0.030504,0.32413,0.04301,0.3271
2386,2393,0.13049,0.38698,0.10673,0.39021
2412,2425,0.12102,0.47334,0.11541,0.48608
2436,2442,0.25755,0.52526,0.27948,0.5132
2448,2459,0.30887,0.65314,0.31752,0.65685
2477,2489,0.45457,0.68648,0.46481,0.63857
2527,2536,0.31583,0.68266,0.36742,0.67376
2543,2552,0.10023,0.28782,0.13825,0.29036
2560,2572,0.10041,0.28044,0.13116,0.26428
2584,2598,0.074225,0.62885,0.08716,0.69722
2630,2640,0.22923,0.39654,0.21907,0.45413
2640,2650,0.39654,0.59741,0.45413,0.62529
2682,2689,0.068839,0.42912,0.07259,0.40177
2697,2709,0.090572,0.46752,0.11496,0.47358
2730,2743,0.14244,0.45782,0.15795,0.50287
2751,2757,0.26157,0.53438,0.26231,0.5787
2776,2784,0.26836,0.60696,0.30721,0.71263
2796,2809,0.094233,0.58932,0.12717,0.73803
2845,2854,0.1619,0.59193,0.17862,0.59377
2869,2875,0.28735,0.50628,0.30465,0.47059
2893,2901,0.35809,0.61305,0.3206,0.61781
2942,2950,0.29568,0.61801,0.29629,0.63259
2966,2972,0.14456,0.46839,0.1575,0.49304
2995,3007,0.38381,0.57597,0.3791,0.57977
3014,3023,0.18999,0.55831,0.22349,0.60089
3042,3046,0.14836,0.36443,0.19445,0.32143
3054,3064,0.17972,0.38769,0.25905,0.29571
3112,3124,0.045809,0.24354,0.08325,0.23309
3155,3166,0.014441,0.1731,0.02712,0.16813
3260,3268,0.019574,0.20641,0.03128,0.21523
3277,3290,0.012439,0.34366,0.02161,0.32439
3302,3315,0.24457,0.57135,0.22884,0.69783
3351,3358,0.30959,0.66719,0.32787,0.67543
3371,3384,0.10783,0.30111,0.1373,0.29129
3395,3408,0.050684,0.20673,0.08407,0.2526
3412,3426,0.25819,0.43273,0.28043,0.43427
3426,3439,0.43273,0.63691,0.43427,0.7015
3445,3457,0.44464,0.71805,0.44481,0.79864
3471,3481,0.208,0.68407,0.22448,0.75011
3492,3501,0.46494,0.66764,0.46224,0.68706
3565,3573,0.092549,0.52388,0.10627,0.42655
3590,3599,0.11337,0.5363,0.13324,0.52087
3687,3695,0.28151,0.5908,0.26458,0.65441
3701,3709,0.44459,0.72581,0.46277,0.72303
3731,3742,0.14192,0.47228,0.18475,0.38949
3755,3769,0.034,0.24921,0.05261,0.20272
3826,3839,0.050942,0.29908,0.06959,0.3029
3839,3849,0.29908,0.46658,0.3029,0.40329
3855,3866,0.1761,0.59057,0.19511,0.72206
3878,3889,0.16813,0.60757,0.18879,0.60926
3902,3910,0.12272,0.49161,0.15147,0.45781
3921,3935,0.18202,0.53115,0.20529,0.55367
3943,3947,0.21884,0.38675,0.21358,0.29725
3954,3962,0.31239,0.55104,0.34489,0.54738
3974,3981,0.35623,0.70172,0.37297,0.66068
4022,4028,0.18496,0.45733,0.18606,0.33285
4044,4053,0.10028,0.57879,0.11532,0.5767
4067,4075,0.46859,0.74689,0.43791,0.69706
4084,4098,0.64996,0.82089,0.70189,0.80293
4165,4179,0.067362,0.34874,0.07672,0.33098
4186,4200,0.117,0.36598,0.13393,0.36188
4217,4226,0.047309,0.26126,0.0608,0.27658
4235,4249,0.0051684,0.25977,0.01848,0.27412
4260,4274,0.0049244,0.39082,0.0137,0.43917
4285,4299,0.038589,0.48357,0.05099,0.47307
4286,4300,0.059578,0.48774,0.07997,0.49004
4312,4321,0.14722,0.58993,0.18927,0.58077
4336,4344,0.13567,0.55051,0.18699,0.55676
4359,4368,0.13929,0.46222,0.16825,0.48743
4378,4390,0.051896,0.5648,0.09537,0.54988
4398,4409,0.40384,0.61389,0.41469,0.63094
4507,4513,0.17777,0.33525,0.19107,0.33843
4523,4536,0.035027,0.32703,0.03507,0.32486
4547,4555,0.024947,0.24632,0.04661,0.2504
4571,4575,0.029698,0.2817,0.05015,0.24961
4666,4680,0.0085205,0.26065,0.01883,0.2625
4690,4704,0.01395,0.3246,0.01749,0.30966
4714,4725,0.030905,0.37986,0.0328,0.37515
4739,4744,0.21312,0.41518,0.1959,0.35332
4748,4753,0.22441,0.55537,0.2586,0.56623
4766,4778,0.26757,0.45496,0.27433,0.47574
4789,4799,0.1725,0.45171,0.17276,0.46826
4815,4825,0.13968,0.3462,0.1681,0.34602
4836,4850,0.055963,0.33052,0.05945,0.29773
4863,4876,0.090364,0.27377,0.07833,0.25743
4884,4890,0.052029,0.29599,0.06165,0.23786
4909,4914,0.19313,0.43716,0.17024,0.39117
